no_order;kode;color;width;qty_gross;supplier;tipe;po;price;amount;currency;rate;price_usd;amount_usd;ket
BL-HDM0192;TNOS530NW;WHITE;-;372;IMP.HUNG PHAT-HD;Import;MBL22021;00.04;150.29.00;USD;1;0,280555556;150.29.00;50
BL-HDM0192;TON002011;BLACK;-;329;DG.MEIMEN;DongGan;MBL22021;02.15;707.35.00;CNY;7;2,297222222;108.82;40
BL-HDM0192;TON0025011;BLACK;-;286;DG.MEIMEN;DongGan;MBL22021;0,134027778;780.78;CNY;7;00.42;120.12.00;40
BL-HDM0192;TON0035011;BLACK;-;110;DG.MEIMEN;DongGan;MBL22021;0,179166667;415.08.00;CNY;7;4,038194444;63.97;40
BL-HDM0192;TONCT12013;BLACK;-;549;DG.MEIMEN;DongGan;MBL22021;03.09;1696.41.00;CNY;7;3,301388889;260.99;40
BL-HDM0192;TONNT08011;BLACK;-;2193;DG.MEIMEN;DongGan;MBL22021;01.19;2609.67;CNY;7;1,271527778;401.49.00;40
BL-HDM0192;TRESWD050;-----;-;17;DG.HENG SHENG;DongGan;MBL22021;34.05.00;578.08.00;CNY;7;5.238;89.05.00;40
BL-HDM0192;TRESWD070;-----;-;15;DG.HENG SHENG;DongGan;MBL22021;47.66;714.98;CNY;7;73.331;110;40
BL-HDM0192;TSP44050M;WHITE;-;2556;PT.INOAC;Local;MBL22021;7511;19198116;RP;12000;4,346527778;1599.84;50
BL-HDM0192;TSPET2001;BLACK;-;7838;DG.IN DAL;DongGan;MBL22021;00.46;3605.48.00;CNY;7;0,491666667;554.69;40
BL-HDM0192;TSS23EM31;-----;-;5481;PT.SEOINDO;Local;MBL22021;0;0;USD;1;0;0;-
BL-HDM0192;ZASC5I062HD;BLACK;-;459;PT.YKK INDONESIA;Local;MBL22021;00.35;158.45.00;USD;1;2,397222222;158.45.00;-
BL-HDM0192;ZASC5I065BT;BLACK;-;7489;PT.YKK INDONESIA;Local;MBL22021;00.03;2236.96;USD;1;2,074305556;2236.96;-
BL-HDM0192;ZASC5I067HD;BLACK;-;2861;PT.YKK INDONESIA;Local;MBL22021;00.31;880.62;USD;1;2,1375;880.62;-
BL-HDM0192;ZASC5I070HD;BLACK;-;265;PT.YKK INDONESIA;Local;MBL22021;00.31;81.57.00;USD;1;2,1375;81.57.00;-
BL-HDM0192;ZASO28I222ZI;BLACK;-;230;PT.YKK INDONESIA;Local;MBL22021;0,139583333;647.27.00;USD;1;28.142;647.27.00;-
BL-HDM0192;ZASO28I225ZI;BLACK;-;829;PT.YKK INDONESIA;Local;MBL22021;0,139583333;2332.97;USD;1;28.142;2332.97;-
BL-HDM0192;ZASO28I227ZI;BLACK;-;1439;PT.YKK INDONESIA;Local;MBL22021;0,141666667;4080.57.00;USD;1;28.357;4080.57.00;-
BL-HDM0192;ZASO28I235ZI;BLACK;-;1478;PT.YKK INDONESIA;Local;MBL22021;0,143055556;4222.79;USD;1;28.571;4222.79;-
BL-HDM0192;ZASO28I242ZI;BLACK;-;953;PT.YKK INDONESIA;Local;MBL22021;02.09;2763.07.00;USD;1;02.09;2763.07.00;-
BL-HDM0192;ZASO28I250ZI;BLACK;-;478;PT.YKK INDONESIA;Local;MBL22021;0,147222222;1396.43.00;USD;1;29.214;1396.43.00;-
BL-HDM0192;ZASO28I257ZI;BLACK;-;91;PT.YKK INDONESIA;Local;MBL22021;0,15;269.75;USD;1;29.643;269.75;-
BL-HDM0192;ZASO28I265ZI;BLACK;-;42;PT.YKK INDONESIA;Local;MBL22021;0,152083333;125.04.00;USD;1;29.857;125.04.00;-
BL-HDM0192;ZHDZP0419;A.SILVER;-;5536;P&H CORP.;Korea;MBL22021;173;957728;WON;1100;1,092361111;870.66;-
BL-HDM0192;ZNYC25I120H3;BLACK;-;459;PT.YKK INDONESIA;Local;MBL22021;00.46;212.01.00;USD;1;3,209027778;212.01.00;-
BL-HDM0192;ZNYC25I125H3;BLACK;-;1657;PT.YKK INDONESIA;Local;MBL22021;00.47;772.82;USD;1;3,238888889;772.82;-
BL-HDM0192;ZNYC25I130H3;BLACK;-;2877;PT.YKK INDONESIA;Local;MBL22021;00.47;1354.02.00;USD;1;3,26875;1354.02.00;-
BL-HDM0192;ZNYC25I135H3;BLACK;-;2956;PT.YKK INDONESIA;Local;MBL22021;00.48;1404.04.00;USD;1;3,299305556;1404.04.00;-
BL-HDM0192;ZNYC25I140H3;BLACK;-;1905;PT.YKK INDONESIA;Local;MBL22021;00.48;913.26.00;USD;1;3,329166667;913.26.00;-
BL-HDM0192;ZNYC25I145H3;BLACK;-;956;PT.YKK INDONESIA;Local;MBL22021;00.48;462.42.00;USD;1;3,359027778;462.42.00;-
BL-HDM0192;ZNYC25I150H3;BLACK;-;182;PT.YKK INDONESIA;Local;MBL22021;00.49;88.82;USD;1;0,338888889;88.82;-
BL-HDM0192;ZNYC25I155H3;BLACK;-;83;PT.YKK INDONESIA;Local;MBL22021;00.49;40.86;USD;1;3,41875;40.86;-
BL-HDM0192;ZNYC5I060RH;BLACK;-;2115;PT.YKK INDONESIA;Local;MBL22021;00.28;590.09.00;USD;1;0,19375;590.09.00;-
BL-HDM0192;ZNYC5I065PT;BLACK;-;1058;PT.YKK INDONESIA;Local;MBL22021;00.22;236.15.00;USD;1;1,55;236.15.00;-
BL-HDM0192;ZNYC5I065RH;BLACK;-;5832;PT.YKK INDONESIA;Local;MBL22021;00.29;1694.02.00;USD;1;2,017361111;1694.02.00;-
BL-HDM0192;ZNYC5I070PT;BLACK;-;2916;PT.YKK INDONESIA;Local;MBL22021;00.25;715.59.00;USD;1;1,704166667;715.59.00;-
BL-HDM0192;ZNYC5I070RH;BLACK;-;2861;PT.YKK INDONESIA;Local;MBL22021;00.29;822.82;USD;1;1,997222222;822.82;-
BL-HDM0192;ZNYC5I075PT;BLACK;-;1431;PT.YKK INDONESIA;Local;MBL22021;00.22;314.68;USD;1;1,527083333;314.68;-
BL-HDM0192;ZNYC5I075RH;BLACK;-;2380;PT.YKK INDONESIA;Local;MBL22021;00.29;694.72;USD;1;2,027083333;694.72;-
BL-HDM0192;ZNYC5I080PT;BLACK;-;133;PT.YKK INDONESIA;Local;MBL22021;00.22;29.82;USD;1;1,556944444;29.82;-
BL-HDM0192;ZNYC5I080RH;BLACK;-;5832;PT.YKK INDONESIA;Local;MBL22021;00.03;1727.44.00;USD;1;2,056944444;1727.44.00;-
BL-HDM0192;ZNYC5I085RH;BLACK;-;2861;PT.YKK INDONESIA;Local;MBL22021;00.03;860.02.00;USD;1;2,0875;860.02.00;-
BL-HDM0192;ZNYC5I090RH;BLACK;-;265;PT.YKK INDONESIA;Local;MBL22021;00.03;80.08.00;USD;1;2,117361111;80.08.00;-
BL-HDM0192;ZNYC5I092RH;BLACK;-;459;PT.YKK INDONESIA;Local;MBL22021;00.31;141.92;USD;1;2,147222222;141.92;-
BL-HDM0192;ZNYC5I095RH;BLACK;-;1657;PT.YKK INDONESIA;Local;MBL22021;00.31;512.34.00;USD;1;2,147222222;512.34.00;-
BL-HDM0192;ZNYC5I100RH;BLACK;-;2877;PT.YKK INDONESIA;Local;MBL22021;00.31;901.94;USD;1;2,177083333;901.94;-
BL-HDM0192;ZNYC5I105RH;BLACK;-;2956;PT.YKK INDONESIA;Local;MBL22021;00.32;939.42.00;USD;1;2,206944444;939.42.00;-
BL-HDM0192;ZNYC5I110RH;BLACK;-;1905;PT.YKK INDONESIA;Local;MBL22021;00.32;613.06.00;USD;1;2,236805556;613.06.00;-
BL-HDM0192;ZNYC5I115RH;BLACK;-;956;PT.YKK INDONESIA;Local;MBL22021;00.33;312.13.00;USD;1;2,267361111;312.13.00;-
BL-HDM0192;ZNYC5I120RH;BLACK;-;182;PT.YKK INDONESIA;Local;MBL22021;00.33;60.21.00;USD;1;2,297222222;60.21.00;-
BL-HDM0192;ZNYC5I122RH;BLACK;-;459;PT.YKK INDONESIA;Local;MBL22021;00.34;153.81;USD;1;2,327083333;153.81;-
BL-HDM0192;ZNYC5I125RH;BLACK;-;1740;PT.YKK INDONESIA;Local;MBL22021;00.34;583.07.00;USD;1;2,327083333;583.07.00;-
BL-HDM0192;ZNYC5I130RH;BLACK;-;2877;PT.YKK INDONESIA;Local;MBL22021;00.34;976.45.00;USD;1;2,356944444;976.45.00;-
BL-HDM0192;ZNYC5I135RH;BLACK;-;2956;PT.YKK INDONESIA;Local;MBL22021;00.34;1015.98;USD;1;2,386805556;1015.98;-
BL-HDM0192;ZNYC5I140RH;BLACK;-;1905;PT.YKK INDONESIA;Local;MBL22021;00.35;662.94;USD;1;0,241666667;662.94;-
BL-HDM0192;ZNYC5I145RH;BLACK;-;956;PT.YKK INDONESIA;Local;MBL22021;00.35;336.89;USD;1;2,447222222;336.89;-
BL-HDM0192;ZNYC5I150RH;BLACK;-;182;PT.YKK INDONESIA;Local;MBL22021;00.36;64.92;USD;1;2,477083333;64.92;-
BL-HDM0192;ZNYC5I155RH;BLACK;-;83;PT.YKK INDONESIA;Local;MBL22021;00.36;29.96;USD;1;0,250694444;29.96;-
